epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,733.357,1.04595,2.83651,1.19657,0.39768,0.44402,0.47374,0.35679,0.8179,1.98277,1.01642,0.000220841,0.000220841,0.000220841
2,1424.54,0.97759,1.59251,1.13802,0.64107,0.57336,0.60799,0.43886,0.82967,1.74997,1.0431,0.000438787,0.000438787,0.000438787
3,2071.75,0.94175,1.38158,1.12701,0.79753,0.78982,0.87578,0.67489,0.78808,1.3607,1.06243,0.000652331,0.000652331,0.000652331
4,2714.93,0.96851,1.23108,1.1451,0.87438,0.74166,0.87803,0.63868,0.85573,1.23722,1.08018,0.00064719,0.00064719,0.00064719
5,3358.77,0.9114,1.09217,1.12191,0.87014,0.81096,0.89913,0.70413,0.7497,1.05589,1.00285,0.000640587,0.000640587,0.000640587
6,4002.3,0.886,1.0175,1.10044,0.85637,0.91245,0.95213,0.72685,0.69561,0.95264,1.01195,0.000633983,0.000633983,0.000633983
7,4647.53,0.86797,0.94196,1.08873,0.88016,0.83981,0.91418,0.72012,0.6888,0.84533,0.99501,0.00062738,0.00062738,0.00062738
8,5293.57,0.86183,0.8885,1.08683,0.90645,0.93315,0.97938,0.78175,0.65081,0.77667,0.96334,0.000620777,0.000620777,0.000620777
9,5941.46,0.85263,0.81355,1.07425,0.90098,0.97408,0.97346,0.76897,0.65324,0.69529,0.97675,0.000614174,0.000614174,0.000614174
10,6581.88,0.84884,0.78031,1.07084,0.85782,0.95413,0.95826,0.79077,0.60666,0.75935,0.94207,0.00060757,0.00060757,0.00060757
11,7223.91,0.80841,0.76873,1.05292,0.90898,0.94199,0.98607,0.81211,0.60748,0.64924,0.94292,0.000600967,0.000600967,0.000600967
12,7868.82,0.78483,0.71921,1.05244,0.88541,0.9642,0.97423,0.81276,0.58171,0.59325,0.93858,0.000594364,0.000594364,0.000594364
13,8511.44,0.79028,0.67553,1.04485,0.85605,0.95984,0.96793,0.76539,0.64639,0.641,0.95968,0.00058776,0.00058776,0.00058776
14,9154.03,0.77721,0.67893,1.03685,0.93771,0.97857,0.97615,0.7911,0.61455,0.5434,0.92862,0.000581157,0.000581157,0.000581157
15,9776.02,0.77077,0.64595,1.0324,0.85049,0.94205,0.95731,0.79737,0.57655,0.55623,0.91911,0.000574554,0.000574554,0.000574554
16,10394.1,0.74486,0.63227,1.02707,0.94973,0.95557,0.98515,0.79023,0.62861,0.54421,0.97955,0.00056795,0.00056795,0.00056795
17,11015.4,0.75359,0.61969,1.03107,0.89952,0.99297,0.97691,0.80012,0.62043,0.50064,0.94798,0.000561347,0.000561347,0.000561347
18,11632.2,0.75786,0.60574,1.02523,0.92983,0.95949,0.97176,0.78379,0.6542,0.51034,0.97974,0.000554744,0.000554744,0.000554744
19,12249.2,0.72958,0.57571,1.01314,0.95117,0.97154,0.97345,0.80678,0.58733,0.52683,0.91837,0.000548141,0.000548141,0.000548141
20,12865.5,0.74252,0.58714,1.02608,0.9365,0.96901,0.9846,0.83099,0.57304,0.47922,0.92313,0.000541537,0.000541537,0.000541537
21,13477,0.71802,0.57704,1.01519,0.91207,0.96277,0.9756,0.79771,0.61279,0.489,0.95104,0.000534934,0.000534934,0.000534934
22,14090.2,0.72611,0.5677,1.01468,0.93766,0.98387,0.9756,0.78247,0.64632,0.46931,0.95318,0.000528331,0.000528331,0.000528331
23,14703.7,0.70461,0.55153,0.99564,0.94781,0.9911,0.97579,0.81561,0.59341,0.43101,0.91844,0.000521727,0.000521727,0.000521727
24,15320.4,0.70369,0.54589,1.00337,0.94421,0.98365,0.97547,0.8082,0.58073,0.42592,0.91554,0.000515124,0.000515124,0.000515124
25,15940.2,0.68846,0.5231,0.9915,0.96393,0.99093,0.97595,0.83653,0.55352,0.41091,0.906,0.000508521,0.000508521,0.000508521
26,16554.1,0.68575,0.52388,0.99319,0.9643,0.98507,0.97942,0.79148,0.61373,0.42861,0.94193,0.000501917,0.000501917,0.000501917
27,17172.7,0.68414,0.5265,1.00019,0.94592,0.99638,0.97517,0.80708,0.59606,0.43375,0.92673,0.000495314,0.000495314,0.000495314
28,17789.8,0.68843,0.51705,1.00188,0.94282,0.96068,0.97411,0.80431,0.58552,0.4137,0.93464,0.000488711,0.000488711,0.000488711
29,18398.4,0.6619,0.50455,0.98136,0.93842,0.98642,0.97007,0.80728,0.58776,0.41982,0.96496,0.000482108,0.000482108,0.000482108
30,19010.7,0.66998,0.5112,0.98758,0.96475,0.96003,0.97605,0.79664,0.60896,0.43784,0.93567,0.000475504,0.000475504,0.000475504
31,19624.6,0.65452,0.49007,0.98498,0.9663,0.98478,0.97444,0.81076,0.63306,0.41654,0.97744,0.000468901,0.000468901,0.000468901
32,20240.8,0.65532,0.49523,0.9852,0.95742,0.96932,0.97454,0.80285,0.62017,0.43107,0.98379,0.000462298,0.000462298,0.000462298
33,20854.4,0.65359,0.4827,0.98584,0.96812,0.99059,0.97555,0.82026,0.58693,0.3902,0.92721,0.000455694,0.000455694,0.000455694
34,21461.8,0.65326,0.47847,0.98986,0.95761,0.99226,0.98815,0.81401,0.57891,0.3993,0.92399,0.000449091,0.000449091,0.000449091
35,22075.5,0.64759,0.47728,0.9701,0.94867,0.97952,0.98433,0.83342,0.56889,0.3868,0.91827,0.000442488,0.000442488,0.000442488
