epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.62,0.49874,1.26871,0.97049,0.99412,0.97798,0.99326,0.93152,0.36454,1.53137,0.83969,0.000660194,0.000660194,0.000660194
2,959.828,0.50973,0.86756,0.95946,0.9877,1,0.99061,0.89817,0.43445,0.98982,0.86909,0.00131372,0.00131372,0.00131372
3,1456.72,0.53594,0.72905,0.95559,0.97531,0.98266,0.99157,0.90209,0.39612,0.86147,0.87144,0.00195406,0.00195406,0.00195406
4,1945.26,0.52566,0.62731,0.96594,0.99817,1,0.995,0.9234,0.39085,0.84654,0.83881,0.0019406,0.0019406,0.0019406
5,2431.34,0.51353,0.55555,0.95692,0.98402,0.98266,0.9946,0.93091,0.36847,0.49928,0.82904,0.0019208,0.0019208,0.0019208
6,2874.58,0.50071,0.5021,0.94407,0.99027,0.98844,0.99477,0.9591,0.31748,0.41422,0.82713,0.001901,0.001901,0.001901
7,3315.12,0.47006,0.45136,0.9436,0.96155,0.9422,0.96633,0.92049,0.3314,0.47947,0.84132,0.0018812,0.0018812,0.0018812
8,3765.92,0.46927,0.44178,0.93935,0.99288,1,0.99494,0.95991,0.2942,0.3218,0.81397,0.0018614,0.0018614,0.0018614
9,4216,0.45501,0.4109,0.92857,0.99542,0.99422,0.995,0.96509,0.29891,0.30505,0.80945,0.0018416,0.0018416,0.0018416
10,4668.32,0.42906,0.37772,0.91667,0.99953,1,0.995,0.97757,0.25412,0.26442,0.79798,0.0018218,0.0018218,0.0018218
11,5110.14,0.41675,0.36625,0.91037,0.99412,1,0.995,0.97217,0.27145,0.27384,0.80086,0.001802,0.001802,0.001802
12,5560.48,0.41746,0.34827,0.92086,1,0.99963,0.995,0.96511,0.26627,0.24075,0.80247,0.0017822,0.0017822,0.0017822
